Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Date""), 0)",Chrome 120.0.0.0,,,18-01-2024 22:15:38,18-01-2024 22:15:38,0.341s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Campaign Spend""), ""Campaign Spend"")",Chrome 120.0.0.0,,,18-01-2024 22:15:38,18-01-2024 22:15:38,0.438s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Campaign Spend""), 0)",Chrome 120.0.0.0,,,18-01-2024 22:15:38,18-01-2024 22:15:39,0.393s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Approved Projects""), ""Approved Projects"")",Chrome 120.0.0.0,,,18-01-2024 22:15:39,18-01-2024 22:15:39,0.432s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Approved Projects""), 0)",Chrome 120.0.0.0,,,18-01-2024 22:15:39,18-01-2024 22:15:39,0.380s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Buyer CAC""), ""Buyer CAC"")",Chrome 120.0.0.0,,,18-01-2024 22:15:39,18-01-2024 22:15:40,0.466s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Buyer CAC""), 0)",Chrome 120.0.0.0,,,18-01-2024 22:15:40,18-01-2024 22:15:40,0.394s,PASSED
,,,,,,,
Test Cases/Performance Report/test_daily_buyer_cac_ascending_decending_table1,Chrome 120.0.0.0,,,18-01-2024 22:15:40,18-01-2024 22:15:47,6.821s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_60a63d""))",Chrome 120.0.0.0,,,18-01-2024 22:15:41,18-01-2024 22:15:41,0.404s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_4c39c1""))",Chrome 120.0.0.0,,,18-01-2024 22:15:41,18-01-2024 22:15:41,0.524s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_4c39c1_1""))",Chrome 120.0.0.0,,,18-01-2024 22:15:41,18-01-2024 22:15:42,0.523s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_1c7ba8""))",Chrome 120.0.0.0,,,18-01-2024 22:15:42,18-01-2024 22:15:42,0.502s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_1c7ba8""))",Chrome 120.0.0.0,,,18-01-2024 22:15:42,18-01-2024 22:15:43,0.497s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_1c7ba8_1""))",Chrome 120.0.0.0,,,18-01-2024 22:15:43,18-01-2024 22:15:44,0.660s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-stem ng-tns-c99-36_1""))",Chrome 120.0.0.0,,,18-01-2024 22:15:44,18-01-2024 22:15:44,0.569s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_ab1b58""))",Chrome 120.0.0.0,,,18-01-2024 22:15:44,18-01-2024 22:15:45,0.585s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-arrow ng-trigger ng-tri_ab1b58_1""))",Chrome 120.0.0.0,,,18-01-2024 22:15:45,18-01-2024 22:15:45,0.667s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-stem ng-tns-c99-37""))",Chrome 120.0.0.0,,,18-01-2024 22:15:45,18-01-2024 22:15:46,0.591s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-stem ng-tns-c99-37""))",Chrome 120.0.0.0,,,18-01-2024 22:15:46,18-01-2024 22:15:47,0.523s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Ascending_Descending_Table1/Page_/div_mat-sort-header-stem ng-tns-c99-37_1""))",Chrome 120.0.0.0,,,18-01-2024 22:15:47,18-01-2024 22:15:47,0.629s,PASSED
,,,,,,,
Test Cases/Performance Report/test_daily_buyer_cac_items_dropdown_table1,Chrome 120.0.0.0,,,18-01-2024 22:15:47,18-01-2024 22:21:04,5m - 17.085s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Items_per_page""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 22:15:47,18-01-2024 22:21:04,5m - 16.900s,PASSED
,,,,,,,
Test Cases/Performance Report/test_daily_buyer_cac_table2,Chrome 120.0.0.0,,,18-01-2024 22:21:04,18-01-2024 22:21:09,4.928s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table2/Page_/h2_Project By Channel Source""), ""Project By Channel Source"")",Chrome 120.0.0.0,,,18-01-2024 22:21:04,18-01-2024 22:21:05,0.390s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table2/Page_/h2_Project By Channel Source""), 0)",Chrome 120.0.0.0,,,18-01-2024 22:21:05,18-01-2024 22:21:05,0.355s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table2/Page_/div_Date""), ""Date"")",Chrome 120.0.0.0,,,18-01-2024 22:21:05,18-01-2024 22:21:06,0.422s,PASSED
